exercise_id,name,type,body_part,equipment,level,description,type_Strength,type_Cardio,type_Flexibility,body_part_Chest,body_part_Back,body_part_Legs,body_part_Arms,body_part_Shoulders,body_part_Abdominals,body_part_Full Body,body_part_Other,equipment_None,equipment_Bands,equipment_Barbell,equipment_Dumbbell,equipment_Machine,difficulty,is_compound,cardio_intensity,injury_risk,rating_norm
0,Partner plank band row,Strength,Abdominals,Bands,Intermediate,The partner plank band row is an abdominal exercise where two partners perform single-arm planks while pulling on the opposite ends of an exercise band. This technique can be done for time or reps in any ab-focused workout.,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,1,0.7,0.2,0.0
1,Banded crunch isometric hold,Strength,Abdominals,Bands,Intermediate,"The banded crunch isometric hold is an exercise targeting the abdominal muscles, particularly the rectus abdominis or ""six-pack"" muscles. The band adds resistance and continuous tension to this popular exercise.",1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0.7,0.2,0.0
2,FYR Banded Plank Jack,Strength,Abdominals,Bands,Intermediate,"The banded plank jack is a variation on the plank that involves moving the legs in and out for repetitions. Having a band around the thighs forces the lower body to work harder, particularly the hips and glutes. The plank jack is commonly performed as part of a bodyweight circuit, or as part of a dynamic warm-up.",1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0.0,0.2,0.0
3,Banded crunch,Strength,Abdominals,Bands,Intermediate,"The banded crunch is an exercise targeting the abdominal muscles, particularly the rectus abdominis or ""six-pack"" muscles. The band adds resistance and continuous tension to this popular exercise.",1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0.7,0.2,0.0
4,Crunch,Strength,Abdominals,Bands,Intermediate,"The crunch is a popular core exercise targeting the rectus abdominis, or ""six-pack"" muscles, as well as the obliques. It has been the centerpiece of many ab-focused workouts, due to both its simplicity and the intense burn and mind-muscle connection it produces. It can be performed for time or reps as part of the ab-focused portion of any workout.",1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0.7,0.2,0.0
5,Decline band press sit-up,Strength,Abdominals,Bands,Intermediate,"The decline band press sit-up is a weighted core exercise that works the rectus abdominis or ""six pack"" muscles, as well as the deep core muscles. It also taxes the muscles of the shoulders and upper back. Sit-up variations with added resistance are usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of the core-focused portion of a workout.",1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0.0,0.2,0.0
6,FYR2 Banded Frog Pump,Strength,Abdominals,Bands,Intermediate,,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0.0,0.2,0.0
7,Band low-to-high twist,Strength,Abdominals,Bands,Intermediate,"The band low-to-high twist is a core exercise targeting the upper abdominals and the obliques. Take care to perform it with control, as rapid, uncontrolled twisting can injure the spine. It is usually performed for moderate to high reps, at least 8-15 per side, as part of the core-focused portion of a workout.",1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0.0,0.2,0.0
8,Barbell roll-out,Strength,Abdominals,Barbell,Intermediate,"The barbell roll-out is an abdominal exercise that utilizes a barbell in the place of an ab roller. It is best performed with a barbell that has rotating collars, and is considered more difficult than other ab roller variations. Many lifters may not be able to perform a single rep at first, but once they can perform these for reps, they'll be rewarded with a seriously strong core.",1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0.0,0.2,0.9270833333333334
9,Barbell Ab Rollout - On Knees,Strength,Abdominals,Barbell,Intermediate,"The barbell roll-out is an abdominal exercise that utilizes a barbell in the place of an ab roller. It is best performed with a barbell that has rotating collars, and is considered more difficult than other ab roller variations. Many lifters may not be able to perform a single rep at first, but once they can perform these for reps, they'll be rewarded with a seriously strong core.",1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0.0,0.2,0.9270833333333334
