fat_g,fiber_g,calories,food_id,potassium_mg,sodium_mg,source,name,carbs_g,cholesterol_mg,sugar_g,protein_g,category,cuisine,sat_fat_g,low_gi,low_sodium,diabetic_friendly,heart_healthy,vegetarian,vegan,meal_type
93.33,0.0,867.0,0,0.0,0.0,USDA,WESSON Vegetable Oil 1 GAL,0.0,0.0,0.0,0.0,Other,American,13.33,0,1,0,0,1,1,lunch
0.0,0.0,4.0,1,0.0,346.0,USDA,SWANSON BROTH BEEF,0.42,0.0,0.42,0.83,Other,American,0.0,0,0,0,0,0,0,lunch
5.31,0.4,82.0,2,65.0,363.0,USDA,CAMPBELL'S SLOW KETTLE SOUP CLAM CHOWDER,6.12,6.0,0.41,2.45,Other,American,1.02,0,0,0,0,1,1,lunch
6.12,0.4,82.0,3,65.0,322.0,USDA,CAMPBELL'S SLOW KETTLE SOUP CHEESE BROCCOLI,5.31,10.0,0.82,1.22,Other,American,2.45,0,0,0,0,1,0,lunch
0.0,0.0,4.0,4,12.0,15.0,USDA,SWANSON BROTH CHICKEN,0.42,0.0,0.42,0.83,Other,American,0.0,0,1,0,0,0,0,lunch
0.61,2.4,61.0,5,155.0,306.0,USDA,CAMPBELL'S SOUP BEAN AND HAM,10.61,4.0,1.63,3.67,Other,American,0.0,0,0,0,0,1,1,lunch
0.0,0.0,4.0,6,13.0,353.0,USDA,SWANSON BROTH BEEF,0.43,0.0,0.43,0.85,Other,American,0.0,0,0,0,0,0,0,lunch
3.33,2.5,58.0,7,175.0,358.0,USDA,PREGO SAUCES TOMATO BASIL,5.83,0.0,3.33,1.67,Other,American,0.42,0,0,0,0,1,1,lunch
1.25,0.8,75.0,8,517.0,342.0,USDA,CAMPBELL'S SOUP TOMATO,15.0,0.0,9.17,1.67,Other,American,0.0,0,0,0,0,1,1,lunch
2.78,1.2,87.0,9,147.0,238.0,USDA,CAMPBELL'S PASTA SPAGHETTIOS W FRANKS,11.51,10.0,3.97,3.57,Other,American,0.79,0,0,0,0,1,1,dinner
0.35,3.5,125.0,10,297.0,379.0,USDA,BUSH'S Bourbon and Brown Sugar Grillin' Beans 22 oz,25.88,0.0,11.51,5.12,Other,American,0.04,0,0,0,0,1,1,lunch
